Action Name;Time (sequence)(s);Time (action)(s);Shear stress(Pa);Shear rate(s-¹);Shear strain(%);Normal force(N);Complex shear strain(%);Frequency(Hz);Complex shear stress(Pa);Shear modulus (elastic component)(Pa);Shear modulus (viscous component)(Pa);Shear modulus (complex component)(Pa);Torque(N m);Angular displacement(rad);Temperature(°C);Gap(mm)
Oscillation Single Frequency (2);4,076E+003;31,08;;;;0,1843;;;;;;;1,377E-005;2,345E-004;21,00;9,1500
Oscillation Single Frequency (2);4,076E+003;31,22;;;;0,1846;;;;;;;9,269E-006;1,608E-004;21,00;9,1500
Oscillation Single Frequency (2);4,076E+003;31,36;;;;0,1844;;;;;;;4,678E-006;8,394E-005;21,00;9,1500
Oscillation Single Frequency (2);4,076E+003;31,50;;;;0,1843;;;;;;;4,127E-008;8,436E-006;21,00;9,1500
Oscillation Single Frequency (2);4,076E+003;31,64;;;;0,1845;;;;;;;-4,595E-006;-6,940E-005;21,00;9,1500
Oscillation Single Frequency (2);4,076E+003;31,78;;;;0,1842;;;;;;;-9,188E-006;-1,475E-004;21,00;9,1500
Oscillation Single Frequency (2);4,077E+003;31,92;;;;0,1842;;;;;;;-1,369E-005;-2,249E-004;21,00;9,1500
Oscillation Single Frequency (2);4,077E+003;32,06;;;;0,1835;;;;;;;-1,806E-005;-3,010E-004;21,00;9,1500
Oscillation Single Frequency (2);4,077E+003;32,20;;;;0,1836;;;;;;;-2,226E-005;-3,735E-004;21,00;9,1500
Oscillation Single Frequency (2);4,077E+003;32,34;;;;0,1839;;;;;;;-2,625E-005;-4,443E-004;21,00;9,1500
Oscillation Single Frequency (2);4,077E+003;32,48;;;;0,1838;;;;;;;-2,998E-005;-5,095E-004;21,00;9,1500
Oscillation Single Frequency (2);4,077E+003;32,62;;;;0,1838;;;;;;;-3,342E-005;-5,723E-004;21,00;9,1500
Oscillation Single Frequency (2);4,077E+003;32,77;;;;0,1836;;;;;;;-3,654E-005;-6,298E-004;21,00;9,1500
Oscillation Single Frequency (2);4,078E+003;32,91;;;;0,1840;;;;;;;-3,931E-005;-6,796E-004;21,00;9,1500
Oscillation Single Frequency (2);4,078E+003;33,05;;;;0,1838;;;;;;;-4,170E-005;-7,250E-004;21,00;9,1500
Oscillation Single Frequency (2);4,078E+003;33,19;;;;0,1839;;;;;;;-4,369E-005;-7,633E-004;21,00;9,1500
Oscillation Single Frequency (2);4,078E+003;33,33;;;;0,1840;;;;;;;-4,526E-005;-7,937E-004;21,00;9,1500
Oscillation Single Frequency (2);4,078E+003;33,47;;;;0,1841;;;;;;;-4,639E-005;-8,184E-004;21,00;9,1500
Oscillation Single Frequency (2);4,078E+003;33,61;;;;0,1837;;;;;;;-4,707E-005;-8,363E-004;21,00;9,1500
Oscillation Single Frequency (2);4,078E+003;33,75;;;;0,1833;;;;;;;-4,730E-005;-8,451E-004;21,00;9,1500
Oscillation Single Frequency (2);4,079E+003;33,89;;;;0,1836;;;;;;;-4,708E-005;-8,470E-004;21,00;9,1500
Oscillation Single Frequency (2);4,079E+003;34,03;;;;0,1839;;;;;;;-4,640E-005;-8,419E-004;21,00;9,1500
Oscillation Single Frequency (2);4,079E+003;34,17;;;;0,1835;;;;;;;-4,528E-005;-8,293E-004;21,00;9,1500
Oscillation Single Frequency (2);4,079E+003;34,31;;;;0,1832;;;;;;;-4,372E-005;-8,100E-004;21,00;9,1500
Oscillation Single Frequency (2);4,079E+003;34,45;;;;0,1835;;;;;;;-4,174E-005;-7,833E-004;21,00;9,1500
Oscillation Single Frequency (2);4,079E+003;34,59;;;;0,1835;;;;;;;-3,935E-005;-7,491E-004;21,00;9,1500
Oscillation Single Frequency (2);4,079E+003;34,73;;;;0,1831;;;;;;;-3,659E-005;-7,095E-004;21,00;9,1500
Oscillation Single Frequency (2);4,079E+003;34,87;;;;0,1831;;;;;;;-3,347E-005;-6,638E-004;21,00;9,1500
Oscillation Single Frequency (2);4,080E+003;35,02;;;;0,1834;;;;;;;-3,003E-005;-6,107E-004;21,00;9,1500
Oscillation Single Frequency (2);4,080E+003;35,16;;;;0,1836;;;;;;;-2,631E-005;-5,537E-004;21,00;9,1500
Oscillation Single Frequency (2);4,080E+003;35,30;;;;0,1839;;;;;;;-2,233E-005;-4,912E-004;21,00;9,1500
Oscillation Single Frequency (2);4,080E+003;35,44;;;;0,1836;;;;;;;-1,813E-005;-4,247E-004;21,00;9,1500
Oscillation Single Frequency (2);4,080E+003;35,58;;;;0,1841;;;;;;;-1,376E-005;-3,562E-004;21,00;9,1500
Oscillation Single Frequency (2);4,080E+003;35,72;;;;0,1844;;;;;;;-9,261E-006;-2,813E-004;21,00;9,1500
Oscillation Single Frequency (2);4,080E+003;35,86;;;;0,1838;;;;;;;-4,669E-006;-2,062E-004;21,00;9,1500
Oscillation Single Frequency (2);4,081E+003;36,00;;;;0,1835;;;;;;;-3,301E-008;-1,288E-004;21,00;9,1500
Oscillation Single Frequency (2);4,081E+003;36,14;;;;0,1836;;;;;;;4,604E-006;-5,052E-005;21,00;9,1500
Oscillation Single Frequency (2);4,081E+003;36,28;;;;0,1838;;;;;;;9,196E-006;2,512E-005;21,00;9,1500
Oscillation Single Frequency (2);4,081E+003;36,42;;;;0,1839;;;;;;;1,370E-005;1,017E-004;21,00;9,1500
Oscillation Single Frequency (2);4,081E+003;36,56;;;;0,1839;;;;;;;1,807E-005;1,770E-004;21,00;9,1500
Oscillation Single Frequency (2);4,081E+003;36,70;;;;0,1841;;;;;;;2,227E-005;2,508E-004;21,00;9,1500
Oscillation Single Frequency (2);4,081E+003;36,84;;;;0,1842;;;;;;;2,625E-005;3,206E-004;21,00;9,1500
Oscillation Single Frequency (2);4,082E+003;36,98;;;;0,1836;;;;;;;2,998E-005;3,873E-004;21,00;9,1500
Oscillation Single Frequency (2);4,082E+003;37,12;;;;0,1836;;;;;;;3,343E-005;4,483E-004;21,00;9,1500
Oscillation Single Frequency (2);4,082E+003;37,27;;;;0,1838;;;;;;;3,654E-005;5,035E-004;21,00;9,1500
Oscillation Single Frequency (2);4,082E+003;37,41;;;;0,1840;;;;;;;3,931E-005;5,525E-004;21,00;9,1500
Oscillation Single Frequency (2);4,082E+003;37,55;;;;0,1836;;;;;;;4,170E-005;5,970E-004;21,00;9,1500
Oscillation Single Frequency (2);4,082E+003;37,69;;;;0,1838;;;;;;;4,369E-005;6,336E-004;21,00;9,1500
Oscillation Single Frequency (2);4,082E+003;37,83;;;;0,1838;;;;;;;4,526E-005;6,647E-004;21,00;9,1500
Oscillation Single Frequency (2);4,083E+003;37,97;;;;0,1839;;;;;;;4,639E-005;6,885E-004;21,00;9,1500
Oscillation Single Frequency (2);4,083E+003;38,11;;;;0,1836;;;;;;;4,707E-005;7,059E-004;21,00;9,1500
Oscillation Single Frequency (2);4,083E+003;38,25;;;;0,1836;;;;;;;4,730E-005;7,148E-004;21,00;9,1500
Oscillation Single Frequency (2);4,083E+003;38,39;;;;0,1840;;;;;;;4,708E-005;7,159E-004;21,00;9,1500
Oscillation Single Frequency (2);4,083E+003;38,53;;;;0,1836;;;;;;;4,640E-005;7,114E-004;21,00;9,1500
Oscillation Single Frequency (2);4,083E+003;38,67;;;;0,1835;;;;;;;4,527E-005;6,984E-004;21,00;9,1500
Oscillation Single Frequency (2);4,083E+003;38,81;;;;0,1838;;;;;;;4,371E-005;6,780E-004;21,00;9,1500
Oscillation Single Frequency (2);4,084E+003;38,95;;;;0,1838;;;;;;;4,173E-005;6,515E-004;21,00;9,1500
Oscillation Single Frequency (2);4,084E+003;39,09;;;;0,1843;;;;;;;3,935E-005;6,171E-004;21,00;9,1500
Oscillation Single Frequency (2);4,084E+003;39,23;;;;0,1842;;;;;;;3,658E-005;5,773E-004;21,00;9,1500
Oscillation Single Frequency (2);4,084E+003;39,37;;;;0,1843;;;;;;;3,347E-005;5,321E-004;21,00;9,1500
Oscillation Single Frequency (2);4,084E+003;39,52;;;;0,1841;;;;;;;3,003E-005;4,791E-004;21,00;9,1500
Oscillation Single Frequency (2);4,084E+003;39,66;;;;0,1842;;;;;;;2,630E-005;4,216E-004;21,00;9,1500
Oscillation Single Frequency (2);4,084E+003;39,80;;;;0,1842;;;;;;;2,232E-005;3,590E-004;21,00;9,1500
Oscillation Single Frequency (2);4,085E+003;39,94;;;;0,1841;;;;;;;1,813E-005;2,915E-004;21,00;9,1500
Oscillation Single Frequency (2);4,085E+003;40,08;;;;0,1846;;;;;;;1,376E-005;2,208E-004;21,00;9,1500
Oscillation Single Frequency (2);4,085E+003;40,22;;;;0,1841;;;;;;;9,253E-006;1,454E-004;21,00;9,1500
Oscillation Single Frequency (2);4,085E+003;40,36;;;;0,1837;;;;;;;4,661E-006;7,070E-005;21,00;9,1500
Oscillation Single Frequency (2);4,085E+003;40,50;;;;0,1842;;;;;;;2,476E-008;-7,216E-006;21,00;9,1500
Oscillation Single Frequency (2);4,085E+003;40,64;;;;0,1843;;;;;;;-4,612E-006;-8,270E-005;21,00;9,1500
Oscillation Single Frequency (2);4,085E+003;40,78;;;;0,1843;;;;;;;-9,204E-006;-1,619E-004;21,00;9,1500
Oscillation Single Frequency (2);4,086E+003;40,92;;;;0,1841;;;;;;;-1,371E-005;-2,388E-004;21,00;9,1500
Oscillation Single Frequency (2);4,086E+003;41,06;;;;0,1837;;;;;;;-1,808E-005;-3,141E-004;21,00;9,1500
Oscillation Single Frequency (2);4,086E+003;41,20;;;;0,1837;;;;;;;-2,228E-005;-3,863E-004;21,00;9,1500
Oscillation Single Frequency (2);4,086E+003;41,34;;;;0,1836;;;;;;;-2,626E-005;-4,567E-004;21,00;9,1500
Oscillation Single Frequency (2);4,086E+003;41,48;;;;0,1835;;;;;;;-2,999E-005;-5,223E-004;21,00;9,1500
Oscillation Single Frequency (2);4,086E+003;41,62;;;;0,1833;;;;;;;-3,343E-005;-5,842E-004;21,00;9,1500
Oscillation Single Frequency (2);4,086E+003;41,77;;;;0,1835;;;;;;;-3,655E-005;-6,408E-004;21,00;9,1500
Oscillation Single Frequency (2);4,087E+003;41,91;;;;0,1833;;;;;;;-3,932E-005;-6,901E-004;21,00;9,1500
Oscillation Single Frequency (2);4,087E+003;42,05;;;;0,1834;;;;;;;-4,171E-005;-7,357E-004;21,00;9,1500
Oscillation Single Frequency (2);4,087E+003;42,19;;;;0,1835;;;;;;;-4,369E-005;-7,729E-004;21,00;9,1500
Oscillation Single Frequency (2);4,087E+003;42,33;;;;0,1832;;;;;;;-4,526E-005;-8,048E-004;21,00;9,1500
Oscillation Single Frequency (2);4,087E+003;42,47;;;;0,1832;;;;;;;-4,639E-005;-8,276E-004;21,00;9,1500
Oscillation Single Frequency (2);4,087E+003;42,61;;;;0,1832;;;;;;;-4,707E-005;-8,454E-004;21,00;9,1500
Oscillation Single Frequency (2);4,087E+003;42,75;;;;0,1832;;;;;;;-4,730E-005;-8,544E-004;21,00;9,1500
Oscillation Single Frequency (2);4,088E+003;42,89;;;;0,1833;;;;;;;-4,708E-005;-8,555E-004;21,00;9,1500
Oscillation Single Frequency (2);4,088E+003;43,03;;;;0,1832;;;;;;;-4,640E-005;-8,517E-004;21,00;9,1500
Oscillation Single Frequency (2);4,088E+003;43,17;;;;0,1831;;;;;;;-4,527E-005;-8,379E-004;21,00;9,1500
Oscillation Single Frequency (2);4,088E+003;43,31;;;;0,1834;;;;;;;-4,371E-005;-8,188E-004;21,00;9,1500
Oscillation Single Frequency (2);4,088E+003;43,45;;;;0,1834;;;;;;;-4,173E-005;-7,916E-004;21,00;9,1500
Oscillation Single Frequency (2);4,088E+003;43,59;;;;0,1834;;;;;;;-3,934E-005;-7,578E-004;21,00;9,1500
Oscillation Single Frequency (2);4,088E+003;43,73;;;;0,1830;;;;;;;-3,658E-005;-7,189E-004;21,00;9,1500
Oscillation Single Frequency (2);4,088E+003;43,87;;;;0,1833;;;;;;;-3,346E-005;-6,728E-004;21,00;9,1500
Oscillation Single Frequency (2);4,089E+003;44,02;;;;0,1831;;;;;;;-3,002E-005;-6,206E-004;21,00;9,1500
Oscillation Single Frequency (2);4,089E+003;44,16;;;;0,1829;;;;;;;-2,630E-005;-5,628E-004;21,00;9,1500
Oscillation Single Frequency (2);4,089E+003;44,30;;;;0,1828;;;;;;;-2,232E-005;-5,007E-004;21,00;9,1500
Oscillation Single Frequency (2);4,089E+003;44,44;;;;0,1831;;;;;;;-1,812E-005;-4,333E-004;21,00;9,1500
Oscillation Single Frequency (2);4,089E+003;44,58;;;;0,1833;;;;;;;-1,375E-005;-3,652E-004;21,00;9,1500
Oscillation Single Frequency (2);4,089E+003;44,72;;;;0,1833;;;;;;;-9,249E-006;-2,913E-004;21,00;9,1500
Oscillation Single Frequency (2);4,089E+003;44,86;;;;0,1836;;;;;;;-4,657E-006;-2,150E-004;21,00;9,1500
Oscillation Single Frequency (2);4,090E+003;45,00;;;;0,1836;;;;;;;-2,063E-008;-1,384E-004;21,00;9,1500
Oscillation Single Frequency (2);4,090E+003;45,14;;;;0,1833;;;;;;;4,616E-006;-5,982E-005;21,00;9,1500
Oscillation Single Frequency (2);4,090E+003;45,28;;;;0,1831;;;;;;;9,212E-006;1,704E-005;21,00;9,1500
Oscillation Single Frequency (2);4,090E+003;45,42;;;;0,1834;;;;;;;1,372E-005;9,234E-005;21,00;9,1500
Oscillation Single Frequency (2);4,090E+003;45,56;;;;0,1836;;;;;;;1,809E-005;1,676E-004;21,00;9,1500
Oscillation Single Frequency (2);4,090E+003;45,70;;;;0,1832;;;;;;;2,228E-005;2,412E-004;21,00;9,1500
Oscillation Single Frequency (2);4,090E+003;45,84;;;;0,1830;;;;;;;2,627E-005;3,104E-004;21,00;9,1500
Oscillation Single Frequency (2);4,091E+003;45,98;;;;0,1834;;;;;;;3,000E-005;3,774E-004;21,00;9,1500
Oscillation Single Frequency (2);4,091E+003;46,12;;;;0,1831;;;;;;;3,344E-005;4,375E-004;21,00;9,1500
Oscillation Single Frequency (2);4,091E+003;46,27;;;;0,1831;;;;;;;3,656E-005;4,926E-004;21,00;9,1500
Oscillation Single Frequency (2);4,091E+003;46,41;;;;0,1832;;;;;;;3,932E-005;5,420E-004;21,00;9,1500
Oscillation Single Frequency (2);4,091E+003;46,55;;;;0,1832;;;;;;;4,171E-005;5,856E-004;21,00;9,1500
Oscillation Single Frequency (2);4,091E+003;46,69;;;;0,1833;;;;;;;4,370E-005;6,218E-004;21,00;9,1500
Oscillation Single Frequency (2);4,091E+003;46,83;;;;0,1830;;;;;;;4,526E-005;6,529E-004;21,00;9,1500
Oscillation Single Frequency (2);4,092E+003;46,97;;;;0,1833;;;;;;;4,639E-005;6,767E-004;21,00;9,1500
Oscillation Single Frequency (2);4,092E+003;47,11;;;;0,1830;;;;;;;4,707E-005;6,930E-004;21,00;9,1500
Oscillation Single Frequency (2);4,092E+003;47,25;;;;0,1830;;;;;;;4,730E-005;7,017E-004;21,00;9,1500
Oscillation Single Frequency (2);4,092E+003;47,39;;;;0,1828;;;;;;;4,708E-005;7,043E-004;21,00;9,1500
Oscillation Single Frequency (2);4,092E+003;47,53;;;;0,1826;;;;;;;4,640E-005;6,982E-004;21,00;9,1500
Oscillation Single Frequency (2);4,092E+003;47,67;;;;0,1830;;;;;;;4,527E-005;6,860E-004;21,00;9,1500
Oscillation Single Frequency (2);4,092E+003;47,81;;;;0,1828;;;;;;;4,371E-005;6,655E-004;21,00;9,1500
Oscillation Single Frequency (2);4,093E+003;47,95;;;;0,1825;;;;;;;4,172E-005;6,390E-004;21,00;9,1500
Oscillation Single Frequency (2);4,049E+003;3,938;;;;0,1836;0,799586;0,1111;1,125;140,3;10,77;140,7;4,731E-005;7,598E-004;21,00;9,1500
Oscillation Single Frequency (2);4,053E+003;8,016;;;;0,1832;0,822127;0,1111;1,125;136,3;12,30;136,9;4,731E-005;7,812E-004;21,00;9,1500
Oscillation Single Frequency (2);4,057E+003;11,95;;;;0,1838;0,836812;0,1111;1,125;134,0;11,36;134,5;4,731E-005;7,952E-004;21,00;9,1500
Oscillation Single Frequency (2);4,061E+003;16,03;;;;0,1836;0,835179;0,1111;1,125;134,2;11,88;134,7;4,731E-005;7,936E-004;21,00;9,1500
Oscillation Single Frequency (2);4,065E+003;19,97;;;;0,1830;0,835870;0,1111;1,125;134,1;11,94;134,6;4,731E-005;7,943E-004;21,00;9,1500
Oscillation Single Frequency (2);4,069E+003;24,05;;;;0,1837;0,833910;0,1111;1,125;134,4;11,72;134,9;4,731E-005;7,924E-004;21,00;9,1500
Oscillation Single Frequency (2);4,073E+003;27,98;;;;0,1838;0,833055;0,1111;1,125;134,6;11,36;135,1;4,731E-005;7,916E-004;21,00;9,1500
Oscillation Single Frequency (2);4,077E+003;32,06;;;;0,1835;0,832061;0,1111;1,125;134,8;11,21;135,2;4,731E-005;7,906E-004;21,00;9,1500
Oscillation Single Frequency (2);4,081E+003;36,00;;;;0,1835;0,830940;0,1111;1,125;135,0;10,97;135,4;4,731E-005;7,896E-004;21,00;9,1500
Oscillation Single Frequency (2);4,085E+003;39,94;;;;0,1841;0,830445;0,1111;1,125;135,1;10,81;135,5;4,731E-005;7,891E-004;21,00;9,1500
Oscillation Single Frequency (2);4,089E+003;44,02;;;;0,1831;0,829136;0,1111;1,125;135,3;10,65;135,7;4,731E-005;7,879E-004;21,00;9,1500
Oscillation Single Frequency (2);4,093E+003;47,95;;;;0,1825;0,828272;0,1111;1,125;135,4;10,58;135,8;4,731E-005;7,870E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,07812;;;;0,1828;;;;;;;2,439E-006;0,000;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,1562;;;;0,1828;;;;;;;5,015E-006;-2,319E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,2344;;;;0,1831;;;;;;;7,585E-006;-4,577E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,3125;;;;0,1829;;;;;;;1,014E-005;-3,894E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,3906;;;;0,1829;;;;;;;1,269E-005;-2,055E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,4687;;;;0,1830;;;;;;;1,522E-005;-1,241E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,5469;;;;0,1832;;;;;;;1,773E-005;-1,458E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,6250;;;;0,1831;;;;;;;2,022E-005;-1,533E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,7032;;;;0,1830;;;;;;;2,267E-005;-1,007E-004;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,7813;;;;0,1831;;;;;;;2,511E-005;-3,228E-005;21,00;9,1500
Oscillation Single Frequency (3);4,093E+003;0,8594;;;;0,1831;;;;;;;2,750E-005;1,025E-005;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;0,9376;;;;0,1834;;;;;;;2,986E-005;3,491E-005;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,016;;;;0,1834;;;;;;;3,218E-005;6,501E-005;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,094;;;;0,1831;;;;;;;3,446E-005;1,056E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,172;;;;0,1833;;;;;;;3,669E-005;1,460E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,250;;;;0,1835;;;;;;;3,888E-005;1,823E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,328;;;;0,1838;;;;;;;4,101E-005;2,144E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,406;;;;0,1835;;;;;;;4,309E-005;2,462E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,484;;;;0,1834;;;;;;;4,511E-005;2,798E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,563;;;;0,1833;;;;;;;4,707E-005;3,135E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,641;;;;0,1830;;;;;;;4,897E-005;3,462E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,719;;;;0,1834;;;;;;;5,080E-005;3,769E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,797;;;;0,1837;;;;;;;5,257E-005;4,080E-004;21,00;9,1500
Oscillation Single Frequency (3);4,094E+003;1,875;;;;0,1835;;;;;;;5,427E-005;4,388E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;1,953;;;;0,1836;;;;;;;5,589E-005;4,673E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,031;;;;0,1837;;;;;;;5,744E-005;4,953E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,109;;;;0,1838;;;;;;;5,892E-005;5,214E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,187;;;;0,1835;;;;;;;6,032E-005;5,482E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,266;;;;0,1836;;;;;;;6,164E-005;5,727E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,344;;;;0,1837;;;;;;;6,287E-005;5,972E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,422;;;;0,1836;;;;;;;6,403E-005;6,203E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,500;;;;0,1834;;;;;;;6,510E-005;6,423E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,578;;;;0,1835;;;;;;;6,608E-005;6,630E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,656;;;;0,1833;;;;;;;6,698E-005;6,806E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,734;;;;0,1832;;;;;;;6,778E-005;6,993E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,812;;;;0,1831;;;;;;;6,850E-005;7,174E-004;21,00;9,1500
Oscillation Single Frequency (3);4,095E+003;2,891;;;;0,1834;;;;;;;6,913E-005;7,341E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;2,969;;;;0,1833;;;;;;;6,966E-005;7,452E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,047;;;;0,1834;;;;;;;7,011E-005;7,553E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,125;;;;0,1834;;;;;;;7,046E-005;7,660E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,203;;;;0,1833;;;;;;;7,072E-005;7,776E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,281;;;;0,1832;;;;;;;7,088E-005;7,855E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,359;;;;0,1835;;;;;;;7,095E-005;7,894E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,437;;;;0,1834;;;;;;;7,093E-005;7,928E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,516;;;;0,1833;;;;;;;7,081E-005;7,949E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,594;;;;0,1835;;;;;;;7,060E-005;7,954E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,672;;;;0,1834;;;;;;;7,030E-005;7,942E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,750;;;;0,1832;;;;;;;6,990E-005;7,918E-004;21,00;9,1500
Oscillation Single Frequency (3);4,096E+003;3,828;;;;0,1831;;;;;;;6,941E-005;7,878E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;3,906;;;;0,1831;;;;;;;6,883E-005;7,802E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;3,984;;;;0,1831;;;;;;;6,816E-005;7,724E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,063;;;;0,1831;;;;;;;6,739E-005;7,633E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,141;;;;0,1831;;;;;;;6,654E-005;7,523E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,219;;;;0,1834;;;;;;;6,560E-005;7,395E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,297;;;;0,1832;;;;;;;6,458E-005;7,240E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,375;;;;0,1833;;;;;;;6,347E-005;7,092E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,453;;;;0,1832;;;;;;;6,227E-005;6,919E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,531;;;;0,1832;;;;;;;6,099E-005;6,739E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,609;;;;0,1834;;;;;;;5,964E-005;6,535E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,687;;;;0,1832;;;;;;;5,820E-005;6,327E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,766;;;;0,1834;;;;;;;5,668E-005;6,095E-004;21,00;9,1500
Oscillation Single Frequency (3);4,097E+003;4,844;;;;0,1834;;;;;;;5,510E-005;5,854E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;4,922;;;;0,1836;;;;;;;5,343E-005;5,612E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,000;;;;0,1837;;;;;;;5,170E-005;5,347E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,078;;;;0,1838;;;;;;;4,990E-005;5,072E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,156;;;;0,1837;;;;;;;4,803E-005;4,795E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,234;;;;0,1836;;;;;;;4,610E-005;4,496E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,312;;;;0,1834;;;;;;;4,411E-005;4,190E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,391;;;;0,1834;;;;;;;4,206E-005;3,863E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,469;;;;0,1832;;;;;;;3,996E-005;3,526E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,547;;;;0,1831;;;;;;;3,780E-005;3,201E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,625;;;;0,1832;;;;;;;3,559E-005;2,850E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,703;;;;0,1832;;;;;;;3,334E-005;2,495E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,781;;;;0,1832;;;;;;;3,104E-005;2,135E-004;21,00;9,1500
Oscillation Single Frequency (3);4,098E+003;5,859;;;;0,1835;;;;;;;2,870E-005;1,756E-004;21,00;9,1500
Oscillation Single Frequency (3);4,099E+003;5,937;;;;0,1836;;;;;;;2,632E-005;1,369E-004;21,00;9,1500
Oscillation Single Frequency (3);4,099E+003;6,016;;;;0,1831;;;;;;;2,391E-005;9,828E-005;21,00;9,1500
Oscillation Single Frequency (3);4,099E+003;6,094;;;;0,1830;;;;;;;2,146E-005;5,878E-005;21,00;9,1500
Oscillation Single Frequency (3);4,099E+003;6,172;;;;0,1831;;;;;;;1,899E-005;1,806E-005;21,00;9,1500
Oscillation Single Frequency (3);4,099E+003;6,250;;;;0,1835;;;;;;;1,649E-005;-2,434E-005;21,00;9,1500
Oscillation Single Frequency (3);4,099E+003;6,328;;;;0,1838;;;;;;;1,397E-005;-6,596E-005;21,00;9,1500
Oscillation Single Frequency (3);4,099E+003;6,406;;;;0,1838;;;;;;;1,143E-005;-1,085E-004;21,00;9,1500
Oscillation Single Frequency (3);4,099E+003;6,484;;;;0,1838;;;;;;;8,881E-006;-1,538E-004;21,00;9,1500
