42.27,200.009,0.211,0.483333,20.00,16.36
42.25,200.006,0.211,0.500067,20.00,15.69
42.23,200.002,0.211,0.516667,20.00,14.14
42.20,200.007,0.211,0.533400,20.00,14.81
42.19,200.007,0.211,0.550067,20.00,14.31
42.16,200.004,0.211,0.566733,20.00,13.70
42.14,200.001,0.211,0.583400,20.00,13.55
42.13,200.005,0.211,0.600000,20.00,13.28
42.11,200.005,0.211,0.616600,20.00,13.70
42.10,200.006,0.211,0.633267,20.00,13.99
42.09,200.007,0.210,0.650000,20.00,13.15
42.07,200.003,0.210,0.666667,20.00,13.54
42.06,200.004,0.210,0.683333,20.00,12.99
42.04,199.995,0.210,0.700000,20.00,11.99
42.04,200.004,0.210,0.716667,20.00,12.19
42.03,200.003,0.210,0.733333,20.00,12.28
42.02,200.003,0.210,0.750067,20.00,12.55
42.02,200.006,0.210,0.766733,20.00,12.51
42.00,199.997,0.210,0.783400,20.00,12.46
41.98,200.003,0.210,0.800067,20.00,12.34
41.97,200.003,0.210,0.816733,20.00,11.10
41.97,200.008,0.210,0.833467,20.00,11.29
41.96,200.004,0.210,0.849933,20.00,11.37
41.95,200.001,0.210,0.866600,20.00,11.67
41.94,200.001,0.210,0.883267,20.00,12.07
41.93,200.002,0.210,0.900133,20.00,11.13
41.92,200.006,0.210,0.916667,20.00,11.72
41.92,200.006,0.210,0.933333,20.00,10.93
41.91,200.007,0.210,0.950000,20.00,10.55
41.90,200.007,0.210,0.966667,20.00,10.24
41.89,200.000,0.209,0.983333,20.00,10.69
41.89,200.000,0.209,1.00007,20.00,9.56
41.88,200.001,0.209,1.01673,20.00,9.80
41.88,200.005,0.209,1.03340,20.00,7.89
41.87,200.006,0.209,1.04993,20.00,9.55
41.87,200.005,0.209,1.06680,20.00,9.77
41.87,200.002,0.209,1.08347,20.00,9.84
41.86,200.007,0.209,1.10000,20.00,10.53
41.86,200.007,0.209,1.11667,20.00,8.94
41.86,200.004,0.209,1.13333,20.00,9.17
41.85,199.989,0.209,1.15007,20.00,9.79
41.85,200.021,0.209,1.16667,20.00,9.66
41.85,199.995,0.209,1.18340,20.00,8.46
41.84,199.993,0.209,1.20007,20.00,7.58
41.85,200.020,0.209,1.21673,20.00,9.51
41.83,199.997,0.209,1.23327,20.00,8.05
41.83,199.993,0.209,1.24993,20.00,6.74
41.84,200.016,0.209,1.26660,20.00,7.62
41.83,199.997,0.209,1.28327,20.00,7.18
41.82,199.997,0.209,1.30000,20.00,8.63
41.82,200.001,0.209,1.31667,20.00,7.71
41.82,200.008,0.209,1.33333,20.00,8.24
41.83,200.005,0.209,1.35007,20.00,8.55
41.82,200.001,0.209,1.36673,20.00,7.99
41.82,200.002,0.209,1.38340,20.00,6.83
41.82,200.002,0.209,1.40007,20.00,5.07
41.83,200.006,0.209,1.41673,20.00,7.02
41.82,200.007,0.209,1.43340,20.00,8.42
41.82,200.003,0.209,1.45007,20.00,8.63
41.82,199.999,0.209,1.46673,20.00,6.83
41.82,200.004,0.209,1.48333,20.00,6.21
41.82,200.005,0.209,1.50007,20.00,7.67
41.82,200.001,0.209,1.51673,20.00,7.10
41.81,200.005,0.209,1.53340,20.00,6.87
41.81,200.005,0.209,1.55007,20.00,6.68
41.82,200.006,0.209,1.56673,20.00,5.34
41.81,200.001,0.209,1.58340,20.00,6.24
41.82,200.005,0.209,1.60007,20.00,6.12
41.82,200.001,0.209,1.61660,20.00,6.39
41.82,200.005,0.209,1.63327,20.00,5.42
41.82,200.006,0.209,1.64993,20.00,5.16
41.82,200.001,0.209,1.66660,20.00,6.24
41.82,200.006,0.209,1.68327,20.00,4.41
41.82,200.006,0.209,1.69993,20.00,5.45
41.82,200.001,0.209,1.71667,20.00,5.79
41.82,200.001,0.209,1.73340,20.00,6.18
41.82,200.005,0.209,1.75000,20.00,5.58
41.82,200.002,0.209,1.76673,20.00,5.72
41.82,200.005,0.209,1.78340,20.00,5.53
41.83,200.001,0.209,1.80007,20.00,5.70
41.82,200.005,0.209,1.81673,20.00,7.05
41.83,200.006,0.209,1.83340,20.00,6.24
41.82,200.006,0.209,1.85007,20.00,5.60
41.83,200.003,0.209,1.86673,20.00,6.63
41.83,200.002,0.209,1.88347,20.00,7.59
41.83,200.007,0.209,1.90013,20.00,6.41
41.83,200.003,0.209,1.91680,20.00,5.48
41.84,199.997,0.209,1.93327,20.00,6.12
41.83,200.009,0.209,1.94993,20.00,7.23
41.84,200.010,0.209,1.96687,20.00,5.66
41.84,200.002,0.209,1.98333,20.00,5.15
41.84,200.006,0.209,2.00000,20.00,5.69
41.84,200.003,0.209,2.01693,20.00,4.24
41.85,200.003,0.209,2.03347,20.00,6.04
41.85,200.003,0.209,2.05007,20.00,4.92
41.85,200.006,0.209,2.06660,20.00,3.02
41.86,200.002,0.209,2.08327,20.00,4.04
41.85,200.003,0.209,2.10000,20.00,5.79
41.86,200.006,0.209,2.11667,20.00,5.49
41.86,200.007,0.209,2.13333,20.00,4.41
41.86,200.002,0.209,2.15000,20.00,4.64
41.87,200.002,0.209,2.16667,20.00,5.59
41.87,200.007,0.209,2.18340,20.00,6.17
41.88,200.006,0.209,2.20000,20.00,4.50
41.88,200.002,0.209,2.21673,20.00,4.07
41.88,200.006,0.209,2.23340,20.00,5.11
41.88,200.002,0.209,2.25000,20.00,5.11
41.89,200.007,0.209,2.26673,20.00,4.14
41.89,200.002,0.209,2.28347,20.00,3.17
41.90,200.003,0.209,2.30007,20.00,3.59
41.90,200.004,0.209,2.31667,20.00,4.69
41.90,199.999,0.210,2.33340,20.00,5.27
41.90,199.999,0.210,2.35000,20.00,4.97
41.91,200.004,0.210,2.36680,20.00,3.30
41.91,200.008,0.210,2.38333,20.00,4.10
41.91,200.005,0.210,2.40000,20.00,5.02
41.92,200.005,0.210,2.41667,20.00,3.67
41.91,200.002,0.210,2.43340,20.00,2.24
41.92,200.002,0.210,2.45000,20.00,2.50
41.92,200.006,0.210,2.46673,20.00,2.90
41.93,200.006,0.210,2.48340,20.00,3.33
41.93,200.006,0.210,2.50000,20.00,2.89
41.94,200.006,0.210,2.51673,20.00,3.01
41.94,200.005,0.210,2.53333,20.00,1.70
41.94,200.005,0.210,2.55007,20.00,3.41
41.95,200.000,0.210,2.56673,20.00,3.27
41.95,200.004,0.210,2.58347,20.00,2.10
41.95,200.004,0.210,2.60013,20.00,2.48
41.96,200.001,0.210,2.61667,20.00,3.53
41.96,200.001,0.210,2.63333,20.00,4.53
41.96,200.005,0.210,2.65000,20.00,4.21
41.97,200.006,0.210,2.66673,20.00,2.93
41.97,200.006,0.210,2.68333,20.00,3.20
41.98,200.006,0.210,2.70007,20.00,4.27
41.97,200.007,0.210,2.71667,20.00,3.30
41.98,200.003,0.210,2.73333,20.00,3.09
41.98,200.003,0.210,2.75007,20.00,3.11
41.98,200.000,0.210,2.76673,20.00,3.53
42.00,200.004,0.210,2.78340,20.00,4.26
42.00,200.008,0.210,2.80007,20.00,3.72
42.00,200.008,0.210,2.81660,20.00,2.43
42.00,200.004,0.210,2.83347,20.00,1.99
42.00,200.004,0.210,2.85000,20.00,3.83
42.01,200.004,0.210,2.86673,20.00,2.68
42.01,200.005,0.210,2.88327,20.00,1.79
42.01,200.005,0.210,2.89993,20.00,2.61
42.02,200.012,0.210,2.91660,20.00,4.41
42.02,200.011,0.210,2.93333,20.00,3.48
42.04,200.011,0.210,2.94993,20.00,2.62
42.02,199.996,0.210,2.96667,20.00,3.13
42.02,199.996,0.210,2.98333,20.00,2.78
42.06,200.006,0.210,3.00000,20.00,3.47

[step]
Peak hold - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,min,°C,Pa
0.00,-6.08584e-4,-0.002,0.0170000,20.00,-3.63
0.00,-6.51302e-4,-0.063,0.0334000,20.00,-4.10
0.00,-3.63116e-4,0.147,0.0501333,20.00,-2.85
0.00,-3.84176e-4,0.086,0.0668000,20.00,-3.60
0.00,-3.64272e-4,0.007,0.0834667,20.00,-3.37
0.00,-3.18927e-4,0.084,0.100200,20.00,-2.65
0.00,-2.85564e-4,0.091,0.116867,20.00,-3.52
0.00,-6.34340e-4,-0.219,0.133533,20.00,-3.19
0.00,-1.77311e-4,0.344,0.150200,20.00,-4.43
0.00,-3.15999e-4,-0.008,0.166867,20.00,-2.50
0.00,-4.06402e-4,-0.255,0.183533,20.00,-3.11
0.00,-3.07220e-4,-0.286,0.200067,20.00,-3.84
0.00,-2.01005e-4,0.043,0.216733,20.00,-2.69
0.00,-2.12713e-4,-0.136,0.233600,20.00,-2.67
0.00,-3.41452e-4,-0.186,0.250133,20.00,-3.42
0.00,-1.73506e-4,-0.200,0.266800,20.00,-2.28
0.00,-1.62387e-4,0.008,0.283667,20.00,-3.04
0.00,3.24778e-5,-2.013,0.300067,20.00,-3.37
0.00,-3.95001e-5,1.874,0.316733,20.00,-3.87
0.00,-1.30497e-4,-0.086,0.333467,20.00,-3.27

[step]
Flow sweep - 3
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,min,°C,Pa
42.23,199.986,0.211,0.116824,20.00,2.17
35.73,158.867,0.225,0.234709,20.00,2.23
30.22,126.193,0.239,0.352004,20.00,3.46
25.56,100.238,0.255,0.469399,20.00,2.81
21.61,79.6227,0.271,0.586805,20.00,1.95
18.27,63.2459,0.289,0.704910,20.00,0.52
15.45,50.2378,0.308,0.822964,20.00,0.25
13.06,39.9057,0.327,0.940369,20.00,-0.67
11.03,31.6979,0.348,1.05829,20.00,-1.16
9.32,25.1785,0.370,1.17651,20.00,-1.06
7.87,20.0002,0.393,1.29394,20.00,-2.69
6.65,15.8865,0.419,1.41170,20.00,-3.69
5.62,12.6192,0.445,1.52894,20.00,-3.30
4.75,10.0237,0.474,1.64667,20.00,-3.42
4.02,7.96212,0.505,1.76427,20.00,-3.93
3.41,6.32452,0.539,1.88235,20.00,-3.25
2.90,5.02379,0.576,2.00025,20.00,-4.48
2.46,3.99053,0.617,2.11851,20.00,-3.68
2.10,3.16978,0.663,2.23558,20.00,-5.00
1.80,2.51784,0.715,2.35335,20.00,-5.14
1.55,2.00000,0.773,2.47157,20.00,-4.41
1.33,1.58865,0.840,2.58913,20.00,-4.15
1.16,1.26194,0.915,2.70704,20.00,-4.18
1.01,1.00236,1.003,2.82514,20.00,-4.89
0.88,0.796175,1.104,2.94235,20.00,-4.46
0.77,0.632440,1.222,3.06046,20.00,-4.38
0.68,0.502363,1.356,3.17786,20.00,-4.71
0.61,0.399047,1.519,3.29544,20.00,-4.75
0.54,0.316972,1.710,3.41320,20.00,-5.16
0.48,0.251770,1.920,3.53078,20.00,-4.68
0.44,0.199992,2.187,3.64800,20.00,-4.90
0.40,0.158843,2.496,3.76545,20.00,-5.53
0.36,0.126180,2.869,3.88232,20.00,-5.89
0.33,0.100227,3.312,4.00064,20.00,-4.79
0.31,0.0796127,3.835,4.11833,20.00,-4.50
0.28,0.0632309,4.476,4.23505,20.00,-5.02
0.26,0.0502342,5.236,4.35278,20.00,-5.45
0.25,0.0399100,6.153,4.47025,20.00,-5.02
0.23,0.0316958,7.266,4.58814,20.00,-5.54
0.22,0.0251707,8.603,4.70625,20.00,-5.76
0.20,0.0198663,10.287,4.82349,20.00,-4.69
0.19,0.0170296,11.374,4.94055,20.00,-5.67
